date,symbol,trade_shares,trade_dollars,abs_pct_adv,cap_shares,cap_pct_adv,days_to_earnings,residual_shares_after,residual_dollars_after,event_id,strategy,policy_id,policy_aggressiveness
2026-01-13,SMALL_BUY,8.254580802939937,495.27484817639623,0.006740398517437688,244.92856858789574,0.2,1.0,25.629350426154808,1537.7610255692884,event_02,forecast_liquidity,policy_0650,0.65
2026-01-14,URGENT_BUY,50.08675562303212,2504.337781151606,0.04484084262129976,223.3979233888906,0.2,0.0,-2.842170943040401e-14,-1.4210854715202004e-12,event_02,forecast_liquidity,policy_0650,0.65
2026-01-14,HEDGE_SELL,-24.656032129360028,-1356.0817671148016,0.020242854783723976,243.60232183441255,0.2,0.0,0.0,0.0,event_02,forecast_liquidity,policy_0650,0.65
2026-01-14,SMALL_BUY,25.629350426154836,1537.7610255692903,0.019432572607187434,263.7772254269147,0.2,0.0,-2.842170943040401e-14,-1.7053025658242404e-12,event_02,forecast_liquidity,policy_0650,0.65
2026-01-02,URGENT_BUY,24.305495263340806,1215.2747631670402,0.024914070119502058,195.11460910849027,0.2,2.0,75.6945047366592,3784.72523683296,event_01,forecast_liquidity,policy_0800,0.8
2026-01-02,HEDGE_SELL,-30.962679944263588,-1702.9473969344974,0.028783929659810074,215.13865764823365,0.2,2.0,-49.037320055736416,-2697.052603065503,event_01,forecast_liquidity,policy_0800,0.8
2026-01-02,SMALL_BUY,7.777026421838222,466.6215853102933,0.006614287332854498,235.1584087739329,0.2,2.0,32.22297357816178,1933.3784146897067,event_01,forecast_liquidity,policy_0800,0.8
2026-01-05,URGENT_BUY,28.386291662345855,1419.3145831172928,0.027933357549032783,203.24296220043018,0.2,1.0,47.30821307431334,2365.410653715667,event_01,forecast_liquidity,policy_0800,0.8
2026-01-05,HEDGE_SELL,-26.094219584944312,-1435.1820771719372,0.023376358194855108,223.25307789548998,0.2,1.0,-22.943100470792103,-1261.8705258935656,event_01,forecast_liquidity,policy_0800,0.8
2026-01-05,SMALL_BUY,8.880419483699447,532.8251690219668,0.007301127748779987,243.26158339534214,0.2,1.0,23.34255409446233,1400.5532456677397,event_01,forecast_liquidity,policy_0800,0.8
2026-01-06,URGENT_BUY,47.30821307431336,2365.4106537156676,0.04433245380012858,213.42474426342784,0.2,0.0,-1.4210854715202004e-14,-7.105427357601002e-13,event_01,forecast_liquidity,policy_0800,0.8
2026-01-06,HEDGE_SELL,-22.943100470792096,-1261.8705258935654,0.019645450642965873,233.57163841906532,0.2,0.0,0.0,0.0,event_01,forecast_liquidity,policy_0800,0.8
2026-01-06,SMALL_BUY,23.342554094462358,1400.5532456677415,0.01840186459572242,253.69770517590288,0.2,0.0,-2.842170943040401e-14,-1.7053025658242404e-12,event_01,forecast_liquidity,policy_0800,0.8
2026-01-12,URGENT_BUY,24.305495263340806,1215.2747631670402,0.024914070119502058,195.11460910849027,0.2,2.0,75.6945047366592,3784.72523683296,event_02,forecast_liquidity,policy_0800,0.8
2026-01-12,HEDGE_SELL,-30.962679944263588,-1702.9473969344974,0.028783929659810074,215.13865764823365,0.2,2.0,-49.037320055736416,-2697.052603065503,event_02,forecast_liquidity,policy_0800,0.8
